Date,Time,SET,Value,2D,Modern,Internet
2023-02-02,11:00:00,"1,687.65","34,987.89",57,0,0
2023-02-02,12:01:00,"1,687.65","34,987.89",57,0,0
2023-02-02,15:00:00,"1,682.58","62,319.50",89,0,0
2023-02-02,16:30:00,"1,682.58","62,319.50",89,0,0
2023-02-03,11:00:00,"1,686.62","34,659.98",29,0,0
2023-02-03,12:01:00,"1,686.62","34,659.98",29,0,0
2023-02-03,15:00:00,"1,688.36","58,565.35",65,0,0
2023-02-03,16:30:00,"1,688.36","58,565.35",65,0,0
2023-02-06,11:00:00,"1,685.17","28,018.02",78,0,0
2023-02-06,12:01:00,"1,685.17","28,018.02",78,0,0
2023-02-06,15:00:00,"1,682.11","47,888.62",18,0,0
2023-02-06,16:30:00,"1,682.11","47,888.62",18,0,0
2023-02-07,11:00:00,"1,679.61","36,941.30",11,0,0
2023-02-07,12:01:00,"1,679.61","36,941.30",11,0,0
2023-02-07,15:00:00,"1,680.49","61,463.79",93,0,0
2023-02-07,16:30:00,"1,680.49","61,463.79",93,0,0
2023-02-08,11:00:00,"1,676.47","31,076.02",76,0,0
2023-02-08,12:01:00,"1,676.47","31,076.02",76,0,0
2023-02-08,15:00:00,"1,670.34","60,522.85",42,0,0
2023-02-08,16:30:00,"1,670.34","60,522.85",42,0,0
2023-02-09,11:00:00,"1,664.41","35,609.32",19,0,0
2023-02-09,12:01:00,"1,664.41","35,609.32",19,0,0
2023-02-09,15:00:00,"1,669.17","63,487.16",77,0,0
2023-02-09,16:30:00,"1,669.17","63,487.16",77,0,0
2023-02-10,11:00:00,"1,664.42","32,929.25",29,0,0
2023-02-10,12:01:00,"1,664.42","32,929.25",29,0,0
2023-02-10,15:00:00,"1,664.57","58,917.38",77,0,0
2023-02-10,16:30:00,"1,664.57","58,917.38",77,0,0
2023-02-13,11:00:00,"1,665.88","30,488.37",88,0,0
2023-02-13,12:01:00,"1,665.88","30,488.37",88,0,0
2023-02-13,15:00:00,"1,664.89","52,860.52",90,0,0
2023-02-13,16:30:00,"1,664.89","52,860.52",90,0,0
2023-02-14,11:00:00,"1,658.75","36,019.83",59,0,0
2023-02-14,12:01:00,"1,658.75","36,019.83",59,0,0
2023-02-14,15:00:00,"1,652.76","70,518.69",68,0,0
2023-02-14,16:30:00,"1,652.76","70,518.69",68,0,0
2023-02-15,11:00:00,"1,651.99","79,206.02",96,0,0
2023-02-15,12:01:00,"1,651.99","79,206.02",96,0,0
2023-02-15,15:00:00,"1,647.39","11,422.61",92,0,0
2023-02-15,16:30:00,"1,647.39","11,422.61",92,0,0
2023-02-16,11:00:00,"1,658.08","37,423.18",83,0,0
2023-02-16,12:01:00,"1,658.08","37,423.18",83,0,0
2023-02-16,15:00:00,"1,658.29","63,734.90",94,0,0
2023-02-16,16:30:00,"1,658.29","63,734.90",94,0,0
2023-02-17,11:00:00,"1,652.09","29,963.97",93,0,0
2023-02-17,12:01:00,"1,652.09","29,963.97",93,0,0
2023-02-17,15:00:00,"1,651.67","53,413.46",73,0,0
2023-02-17,16:30:00,"1,651.67","53,413.46",73,0,0
2023-02-20,11:00:00,"1,656.01","26,309.98",19,0,0
2023-02-20,12:01:00,"1,656.01","26,309.98",19,0,0
2023-02-20,15:00:00,"1,657.69","53,391.41",91,0,0
2023-02-20,16:30:00,"1,657.69","53,391.41",91,0,0
2023-02-21,11:00:00,"1,655.57","31,352.34",72,0,0
2023-02-21,12:01:00,"1,655.57","31,352.34",72,0,0
2023-02-21,15:00:00,"1,668.63","66,040.26",30,0,0
2023-02-21,16:30:00,"1,668.63","66,040.26",30,0,0
2023-02-22,11:00:00,"1,663.67","31,045.93",75,0,0
2023-02-22,12:01:00,"1,663.67","31,045.93",75,0,0
2023-02-22,15:00:00,"1,659.48","55,106.24",86,0,0
2023-02-22,16:30:00,"1,659.48","55,106.24",86,0,0
2023-02-23,11:00:00,"1,652.06","33,241.70",61,0,0
2023-02-23,12:01:00,"1,652.06","33,241.70",61,0,0
2023-02-23,15:00:00,"1,652.47","56,102.34",72,0,0
2023-02-23,16:30:00,"1,652.47","56,102.34",72,0,0
2023-02-24,11:00:00,"1,639.65","39,058.13",58,0,0
2023-02-24,12:01:00,"1,639.65","39,058.13",58,0,0
2023-02-24,15:00:00,"1,634.02","67,192.18",22,0,0
2023-02-24,16:30:00,"1,634.02","67,192.18",22,0,0
2023-02-27,11:00:00,"1,630.23","32,663.03",33,0,0
2023-02-27,12:01:00,"1,630.23","32,663.03",33,0,0
2023-02-27,15:00:00,"1,627.35","54,202.34",52,0,0
2023-02-27,16:30:00,"1,627.35","54,202.34",52,0,0
2023-02-28,11:00:00,"1,624.03","31,204.75",34,0,0
2023-02-28,12:01:00,"1,624.03","31,204.75",34,0,0
2023-02-28,15:00:00,"1,622.35","80,307.99",57,0,0
2023-02-28,16:30:00,"1,622.35","80,307.99",57,0,0
2023-03-01,11:00:00,"1,624.52","30,309.50",29,0,0
2023-03-01,12:01:00,"1,624.52","30,309.50",29,0,0
2023-03-01,15:00:00,"1,619.98","59,129.23",89,0,0
2023-03-01,16:30:00,"1,619.98","59,129.23",89,0,0
2023-03-02,11:00:00,"1,622.97","28,739.42",79,0,0
2023-03-02,12:01:00,"1,622.97","28,739.42",79,0,0
2023-03-02,15:00:00,"1,612.64","67,578.86",48,0,0
2023-03-02,16:30:00,"1,612.64","67,578.86",48,0,0
2023-03-03,11:00:00,"1,605.91","30,657.23",17,0,0
2023-03-03,12:01:00,"1,605.91","30,657.23",17,0,0
2023-03-03,15:00:00,"1,606.88","57,813.46",83,0,0
2023-03-03,16:30:00,"1,606.88","57,813.46",83,0,0
2023-03-07,11:00:00,"1,619.77","30,958.68",78,0,0
2023-03-07,12:01:00,"1,619.77","30,958.68",78,0,0
2023-03-07,15:00:00,"1,618.51","57,540.88",10,0,0
2023-03-07,16:30:00,"1,618.51","57,540.88",10,0,0
2023-03-08,11:00:00,"1,610.25","30,237.98",57,0,0
2023-03-08,12:01:00,"1,610.25","30,237.98",57,0,0
2023-03-08,15:00:00,"1,612.60","59,250.43",60,0,0
2023-03-08,16:30:00,"1,612.60","59,250.43",60,0,0
2023-03-09,11:00:00,"1,619.23","30,925.85",35,0,0
2023-03-09,12:01:00,"1,619.23","30,925.85",35,0,0
2023-03-09,15:00:00,"1,614.22","59,540.43",20,0,0
2023-03-09,16:30:00,"1,614.22","59,540.43",20,0,0
2023-03-10,11:00:00,"1,605.75","22,414.92",54,0,0
2023-03-10,12:01:00,"1,605.75","22,414.92",54,0,0
2023-03-10,15:00:00,"1,599.65","49,261.04",51,0,0
2023-03-10,16:30:00,"1,599.65","49,261.04",51,0,0
2023-03-13,11:00:00,"1,599.22","36,020.05",20,0,0
2023-03-13,12:01:00,"1,599.22","36,020.05",20,0,0
2023-03-13,15:00:00,"1,573.07","79,662.39",72,0,0
2023-03-13,16:30:00,"1,573.07","79,662.39",72,0,0
2023-03-14,11:00:00,"1,553.20","49,820.17",20,0,0
2023-03-14,12:01:00,"1,553.20","49,820.17",20,0,0
2023-03-14,15:00:00,"1,523.89","10,383.31",93,0,0
2023-03-14,16:30:00,"1,523.89","10,383.31",93,0,0
2023-03-15,11:00:00,"1,561.71","39,460.20",10,0,0
2023-03-15,12:01:00,"1,561.71","39,460.20",10,0,0
2023-03-15,15:00:00,"1,565.00","69,699.24",59,0,0
2023-03-15,16:30:00,"1,565.00","69,699.24",59,0,0
2023-03-16,11:00:00,"1,550.86","38,539.65",69,0,0
2023-03-16,12:01:00,"1,550.86","38,539.65",69,0,0
2023-03-16,15:00:00,"1,554.65","69,665.73",55,0,0
2023-03-16,16:30:00,"1,554.65","69,665.73",55,0,0
2023-03-17,11:00:00,"1,560.25","31,404.00",54,0,0
2023-03-17,12:01:00,"1,560.25","31,404.00",54,0,0
2023-03-17,15:00:00,"1,563.67","73,534.88",74,0,0
2023-03-17,16:30:00,"1,563.67","73,534.88",74,0,0
2023-03-20,11:00:00,"1,564.63","26,300.83",30,0,0
2023-03-20,12:01:00,"1,564.63","26,300.83",30,0,0
2023-03-20,15:00:00,"1,555.45","62,838.25",58,0,0
2023-03-20,16:30:00,"1,555.45","62,838.25",58,0,0
2023-03-21,11:00:00,"1,565.48","24,871.18",81,0,0
2023-03-21,12:01:00,"1,565.48","24,871.18",81,0,0
2023-03-21,15:00:00,"1,577.18","53,355.27",85,0,0
2023-03-21,16:30:00,"1,577.18","53,355.27",85,0,0
2023-03-22,11:00:00,"1,584.42","28,130.36",20,0,0
2023-03-22,12:01:00,"1,584.42","28,130.36",20,0,0
2023-03-22,15:00:00,"1,585.08","51,001.11",81,0,0
